127.0.0.1 - - [22/Aug/2015:19:28:42 -0700] "GET / HTTP/1.1" 404 955
0:0:0:0:0:0:0:1 - - [22/Aug/2015:19:28:44 -0700] "GET /Jsp_Servlet/edit.jsp HTTP/1.1" 200 1269
0:0:0:0:0:0:0:1 - - [22/Aug/2015:19:28:53 -0700] "POST /Jsp_Servlet/edit HTTP/1.1" 500 1542
0:0:0:0:0:0:0:1 - - [22/Aug/2015:19:29:18 -0700] "GET /Jsp_Servlet/edit HTTP/1.1" 500 1496
0:0:0:0:0:0:0:1 - - [22/Aug/2015:19:31:48 -0700] "GET /Jsp_Servlet/home.jsp HTTP/1.1" 200 394
0:0:0:0:0:0:0:1 - - [22/Aug/2015:19:31:51 -0700] "GET /Jsp_Servlet/login.jsp HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [22/Aug/2015:19:32:11 -0700] "GET /Jsp_Servlet/login.jsp HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [22/Aug/2015:19:32:49 -0700] "POST /Jsp_Servlet/login.jsp HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [22/Aug/2015:19:33:35 -0700] "POST /Jsp_Servlet/login.jsp HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [22/Aug/2015:19:33:46 -0700] "POST /Jsp_Servlet/login.jsp HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [22/Aug/2015:19:34:51 -0700] "GET /Jsp_Servlet/login.jsp HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [22/Aug/2015:19:35:12 -0700] "GET /Jsp_Servlet/login.jsp HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [22/Aug/2015:20:51:41 -0700] "POST /Jsp_Servlet/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Aug/2015:20:51:41 -0700] "GET /Jsp_Servlet/home.jsp? HTTP/1.1" 200 394
0:0:0:0:0:0:0:1 - - [22/Aug/2015:20:51:44 -0700] "GET /Jsp_Servlet/view HTTP/1.1" 200 3806
0:0:0:0:0:0:0:1 - - [22/Aug/2015:20:52:00 -0700] "GET /Jsp_Servlet/AddEmployee.html HTTP/1.1" 200 1050
0:0:0:0:0:0:0:1 - - [22/Aug/2015:20:52:30 -0700] "POST /Jsp_Servlet/create HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Aug/2015:20:52:30 -0700] "GET /Jsp_Servlet/index.jsp?message=Employee%20Created%20successfully HTTP/1.1" 200 347
0:0:0:0:0:0:0:1 - - [22/Aug/2015:20:52:34 -0700] "GET /Jsp_Servlet/login.jsp HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [22/Aug/2015:20:52:40 -0700] "POST /Jsp_Servlet/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Aug/2015:20:52:40 -0700] "GET /Jsp_Servlet/home.jsp? HTTP/1.1" 200 394
0:0:0:0:0:0:0:1 - - [22/Aug/2015:20:52:45 -0700] "GET /Jsp_Servlet/view HTTP/1.1" 200 4107
0:0:0:0:0:0:0:1 - - [22/Aug/2015:20:53:03 -0700] "GET /Jsp_Servlet/home.jsp HTTP/1.1" 200 394
0:0:0:0:0:0:0:1 - - [22/Aug/2015:20:53:06 -0700] "GET /Jsp_Servlet/view HTTP/1.1" 200 4107
0:0:0:0:0:0:0:1 - - [22/Aug/2015:20:53:13 -0700] "GET /Jsp_Servlet/edit.jsp?eid=101&ename=sussu&epay=1000.0&ebonus=1000.0&uname=sasti HTTP/1.1" 200 1273
0:0:0:0:0:0:0:1 - - [22/Aug/2015:20:53:26 -0700] "POST /Jsp_Servlet/edit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Aug/2015:20:53:26 -0700] "GET /Jsp_Servlet/view HTTP/1.1" 200 4107
0:0:0:0:0:0:0:1 - - [22/Aug/2015:20:53:30 -0700] "GET /Jsp_Servlet/edit.jsp?eid=102&ename=luchu&epay=3000.0&ebonus=5000.0&uname=sasi HTTP/1.1" 200 1272
0:0:0:0:0:0:0:1 - - [22/Aug/2015:20:53:33 -0700] "POST /Jsp_Servlet/edit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Aug/2015:20:53:33 -0700] "GET /Jsp_Servlet/view HTTP/1.1" 200 4107
0:0:0:0:0:0:0:1 - - [22/Aug/2015:20:53:48 -0700] "GET /Jsp_Servlet/delete?eid=222 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Aug/2015:20:53:48 -0700] "GET /Jsp_Servlet/view HTTP/1.1" 200 3784
0:0:0:0:0:0:0:1 - - [22/Aug/2015:20:53:56 -0700] "GET /Jsp_Servlet/view HTTP/1.1" 200 3784
